,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type,Popularity,ID,TMDB Rating
190,Hart of Dixie,2011,7+,7.7,81%,1,0,0,0,1,24.041,39279,7.6
191,Bloodline,2015,18+,8.0,62%,1,0,0,0,1,17.697,61986,7.4
192,Middleditch & Schwartz,2020,18+,8.7,100%,1,0,0,0,1,1.431,102349,7.3
193,Haikyu!!,2014,16+,8.7,,1,1,0,0,1,21.824,60863,8.8
194,Dirty Money,2018,16+,8.1,100%,1,0,0,0,1,10.408,76307,7.2
195,Don't F**k with Cats: Hunting an Internet Killer,2019,18+,8.1,67%,1,0,0,0,1,12.743,96129,7.8
196,Babylon Berlin,2017,18+,8.4,,1,0,0,0,1,20.947,66980,7.9
197,That '70s Show,1998,16+,8.1,,1,0,0,0,1,101.976,52,7.8
198,The Magicians,2015,16+,7.6,,1,0,0,0,1,72.15,64432,7.6
199,Chef's Table,2015,all,8.6,100%,1,0,0,0,1,15.576,107671,10
200,TURN: Washington's Spies,2014,16+,8.1,81%,1,0,0,0,1,13.727,57276,7.2
201,Crazy Ex-Girlfriend,2015,16+,7.8,98%,1,0,0,0,1,26.164,63161,6.8
202,Soul Eater,2008,16+,7.8,100%,1,1,0,0,1,22.834,37305,7.2
203,Lost Girl,2010,16+,7.7,65%,1,0,0,0,1,43.598,33852,7.4
204,Wynonna Earp,2016,16+,7.4,93%,1,0,0,0,1,79.303,65988,7.7
205,Merlin,2008,7+,7.9,,1,1,1,0,1,187.328,7225,7.6
206,Galavant,2015,7+,8.1,89%,1,0,0,0,1,13.233,61698,7.2
207,Travelers,2016,16+,8.1,,1,0,0,0,1,41.82,67683,7.5
208,Hilda,2018,7+,8.6,100%,1,0,0,0,1,8.889,82456,8.4
209,The Originals,2013,16+,8.2,27%,1,0,0,0,1,148.403,46896,8.5
210,Episodes,2011,18+,7.8,80%,1,0,0,0,1,15.034,31841,7.4
211,Absolutely Fabulous,1992,16+,8.1,96%,1,1,0,0,1,7.6,4493,7.5
212,Living with Yourself,2019,18+,7.2,84%,1,0,0,0,1,14.61,81532,6.6
213,Malcolm in the Middle,2000,7+,8.0,,1,1,0,0,1,186.801,2004,8.3
214,F is for Family,2015,18+,8.0,86%,1,0,0,0,1,22.315,63522,7.2
215,The Keepers,2017,16+,8.1,96%,1,0,0,0,1,8.578,26101,7.6
216,Cheer,2020,16+,8.2,96%,1,0,0,0,1,11.34,97401,7.5
217,Disenchantment,2018,16+,7.2,68%,1,0,0,0,1,41.828,73021,7.1
218,Dead Set,2008,18+,7.7,90%,1,0,0,0,1,14.244,7831,7.3
219,Ezel,2009,all,8.6,,1,0,0,0,1,10.697,32519,8.3
220,Nurse Jackie,2009,18+,7.7,81%,1,0,0,0,1,22.875,18053,7.1
221,Case Closed,1996,16+,8.4,,1,1,0,0,1,55.577,30983,7.3
222,Imposters,2017,16+,7.8,100%,1,0,0,0,1,10.338,69889,7.4
223,Queer as Folk,1999,18+,8.2,100%,1,0,1,0,1,36.967,2902,7.7
224,Heartland,2007,7+,8.4,45%,1,0,1,0,1,43.376,14929,8.2
225,The Staircase,2005,16+,7.9,93%,1,0,0,0,1,0.955,78602,7.3
226,Madam Secretary,2014,16+,7.6,68%,1,0,0,0,1,38.885,61378,6.7
227,Chewing Gum,2015,16+,7.7,100%,1,0,0,0,1,7.85,64339,7.5
228,Glee,2009,16+,6.7,71%,1,0,0,0,1,73.857,1417,6.4
229,Fairy Tail,2009,16+,8.0,,1,1,0,0,1,32.982,46261,7.4
230,The Order,2019,18+,6.9,100%,1,0,0,0,1,32.921,82104,8
231,Legacies,2018,16+,7.5,,1,0,0,0,1,106.614,79460,8.5
232,North & South,2004,7+,8.6,,1,0,0,0,1,12.337,3266,7.7
233,Helix,2014,16+,6.8,81%,1,0,0,0,1,33.42,58811,6.5
234,Safe,2018,18+,7.3,77%,1,0,0,0,1,7.176,72792,6.9
235,Evil Genius,2018,18+,7.6,80%,1,0,0,0,1,8.553,79126,7.5
236,Marvel's Iron Fist,2017,18+,6.5,37%,1,0,0,0,1,12.444,62127,6.3
237,Lilyhammer,2012,18+,8.0,65%,1,0,0,0,1,20.91,42368,7.3
238,Voltron: Legendary Defender,2016,7+,8.1,100%,1,0,0,0,1,18.669,66558,7.6
239,Blue Mountain State,2010,18+,8.3,,1,0,0,0,1,13.899,31941,7.3
240,Pokémon,1997,7+,7.5,,1,1,1,0,1,27.385,13230,8.4
241,Cheers,1982,7+,7.8,,1,1,1,0,1,58.553,141,7.7
242,Marianne,2019,18+,7.5,93%,1,0,0,0,1,27.617,92916,7.6
243,Star Trek: Enterprise,2001,7+,7.5,50%,1,1,1,0,1,41.644,314,7.5
244,Portlandia,2011,16+,7.8,94%,1,0,0,0,1,10.809,33922,6.7
245,Better Than Us,2018,,7.4,100%,1,0,0,0,1,8.387,84380,7.2
246,Five Came Back,2017,16+,8.3,97%,1,0,0,0,1,3.465,70508,8.3
247,American Crime,2015,16+,7.8,97%,1,0,0,0,1,27.614,64513,7.2
248,Skins,2007,18+,8.2,,1,0,0,0,1,47.426,900,8.1
249,Glitch,2015,16+,7.4,80%,1,0,0,0,1,60.037,63201,6.7
250,GHOUL,2018,18+,7.1,83%,1,0,0,0,1,28.17,80707,6.4
251,JoJo's Bizarre Adventure,2012,18+,8.4,,1,1,0,0,1,41.487,45790,8.6
252,The Society,2019,18+,7.0,85%,1,0,0,0,1,38.877,84647,7.4
253,Code Geass: Lelouch of the Rebellion,2006,18+,8.6,,1,0,0,0,1,34.043,31724,8.3
254,Dracula,2020,18+,6.8,74%,1,0,0,0,1,24.151,86850,7.4
255,Quantico,2015,16+,6.7,82%,1,0,0,0,1,47.021,62816,6.2
256,The Innocence Files,2020,,8.0,100%,1,0,0,0,1,3.03,100379,6.8
257,Medici: Masters of Florence,2016,7+,7.9,,1,0,0,0,1,29.253,66761,7.5
258,She-Ra and the Princesses of Power,2018,all,7.3,97%,1,0,0,0,1,15.934,79732,8.4
259,Versailles,2015,16+,7.9,66%,1,0,0,0,1,47.187,64353,7.9
260,Rise of Empires: Ottoman,2020,18+,8.0,,1,0,0,0,1,11.514,96481,7.2
261,The Mechanism,2018,16+,8.4,80%,1,0,0,0,1,4.884,76954,7.2
262,Everything Sucks!,2018,16+,7.5,72%,1,0,0,0,1,23.627,76438,7.4
263,Raising Dion,2019,7+,7.2,82%,1,0,0,0,1,23.292,93392,8.2
264,All American,2018,16+,7.7,96%,1,0,0,0,1,20.668,82428,7.9
265,Fullmetal Alchemist,2003,16+,8.6,,1,0,0,0,1,59.386,31911,8.6
266,The Rain,2018,18+,6.3,82%,1,0,0,0,1,220.392,76719,7.4
267,ERASED,2016,16+,8.5,,1,1,0,0,1,1.683,95124,9
268,Nailed It!,2018,7+,7.4,98%,1,0,0,0,1,5.821,77791,7.5
269,Last Tango in Halifax,2012,16+,8.3,98%,1,0,0,0,1,2.98,47801,7.3
270,Star-Crossed,2014,16+,7.3,57%,1,0,0,0,1,12.914,51168,6.7
271,The Politician,2019,16+,7.5,57%,1,0,0,0,1,33.788,83127,7.8
272,Documentary Now!,2015,18+,8.1,94%,1,0,0,0,1,7.431,63593,7.9
273,Baby,2018,18+,6.8,80%,1,0,0,0,1,37.335,82700,7.8
274,Secret City,2016,16+,7.4,100%,1,0,0,0,1,13.661,66357,6.4
275,Abstract: The Art of Design,2017,16+,8.4,100%,1,0,0,0,1,10.788,70177,8.4
276,Shooter,2016,16+,7.5,44%,1,0,0,0,1,40.619,66857,6.8
277,Marcella,2016,18+,7.4,65%,1,0,0,0,1,15.439,66023,7
278,The Chef Show,2019,18+,8.2,100%,1,0,0,0,1,4.799,89557,7.6
279,Rurouni Kenshin,1996,16+,8.5,,1,1,1,0,1,41.639,28136,8.4
280,The Seven Deadly Sins,2014,16+,8.1,,1,0,0,0,1,9.488,107971,0
281,InuYasha,2000,16+,7.9,,1,1,0,0,1,82.328,35610,8.6
282,Yeh Meri Family,2018,,9.2,,1,0,0,0,1,2.702,81166,7.8
283,The Circle,2020,18+,7.5,80%,1,0,0,0,1,5.929,97083,8.7
284,The Devil Next Door,2019,18+,7.6,91%,1,0,0,0,1,4.012,94813,7.2
285,Flowers,2016,,8.2,100%,1,0,0,0,1,5.985,66230,7.2
286,Descendants of the Sun,2016,16+,8.4,,1,1,1,0,1,1.636,98786,0
287,The Hollow,2018,7+,7.2,100%,1,0,0,0,1,7.357,79948,6.9
288,Frontier,2016,18+,7.2,75%,1,0,0,0,1,14.151,64555,6.5
289,Your Lie in April,2014,7+,8.6,,1,1,0,0,1,22.028,61663,8.8
290,Ancient Aliens,2010,7+,7.3,,1,1,1,0,1,37.262,32608,6.7
291,Sword Art Online,2012,16+,7.6,,1,1,0,0,1,7.295,77199,0
292,Frequency,2016,7+,7.5,77%,1,0,0,0,1,12.657,66894,7.4
293,Wentworth,2013,18+,8.6,,1,0,0,0,1,36.467,44856,8.1
294,Beauty and the Beast,2012,16+,7.0,51%,1,0,1,0,1,44.479,44606,7.2
295,Cold Justice,2013,16+,7.9,80%,1,0,0,0,1,1.686,58818,7.9
296,Hyperdrive,2019,7+,8.1,100%,1,0,0,0,1,10.94,91766,7.9
297,Time: The Kalief Browder Story,2017,16+,8.5,100%,1,0,0,0,1,2.927,70490,7.4
