,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type,Popularity,ID,TMDB Rating
2359,Prisoners of War,2010,,8.4,100%,0,1,0,0,1,4.204,51157,7.8
2360,The Fades,2011,18+,7.8,,0,1,0,0,1,4.211,41211,7.3
2361,The Firm,2012,16+,7.0,39%,0,1,0,0,1,7.109,39255,5.7
2362,Fruits Basket,2019,7+,8.3,,0,1,0,0,1,19.712,85991,8.1
2363,Adam-12,1968,7+,7.5,,0,1,0,0,1,12.496,4660,7.5
2364,Kenichi The Mightiest Disciple,2006,16+,8.2,,0,1,1,0,1,34.004,37585,8.9
2365,The Joy of Painting,1983,all,9.4,,0,1,1,0,1,6.292,10382,8.6
2366,Gold Rush,2011,7+,7.3,,0,1,0,0,1,28.993,34634,6.9
2367,Lupin the Third,1971,16+,7.9,,0,1,0,0,1,5.585,45860,8.3
2368,McLeod's Daughters,2001,16+,7.2,,0,1,1,0,1,14.383,2041,7.7
2369,Hill Street Blues,1981,16+,8.1,,0,1,0,0,1,22.097,3828,7.6
2370,Brickleberry,2012,18+,7.4,,0,1,0,0,1,17.568,44169,7
2371,The Tonight Show Starring Jimmy Fallon,2014,16+,7.3,,0,1,0,0,1,55.227,59941,6.3
2372,Jeopardy!,1964,all,8.2,,0,1,0,0,1,19.103,2912,6.7
2373,Family Matters,1989,all,6.5,,0,1,0,0,1,31.759,2685,6.8
2374,Foster's Home for Imaginary Friends,2004,7+,7.6,,0,1,0,0,1,32.267,1720,7.2
2375,National Treasure,2016,16+,7.4,91%,0,1,0,0,1,4.08,67716,6.3
2376,Kojak,1973,16+,7.1,,0,1,0,0,1,10.168,3572,7.2
2377,Time After Time,2017,16+,6.7,67%,0,1,0,0,1,7.421,68002,6.8
2378,Star,2016,16+,6.6,,0,1,0,0,1,59.569,253,8
2379,The Marvelous Misadventures of Flapjack,2008,7+,7.8,,0,1,0,0,1,16.058,6673,7.4
2380,Expedition Unknown,2015,7+,8.2,,0,1,0,0,1,7.315,61833,8.4
2381,I'm Dying Up Here,2017,18+,7.4,51%,0,1,0,0,1,9.117,66620,7
2382,Fixer Upper,2013,all,8.3,,0,1,0,0,1,5.821,60911,8.2
2383,The Familiar of Zero,2006,16+,7.1,,0,1,0,0,1,33.423,35753,8.5
2384,The Voice,2011,7+,6.5,,0,1,0,0,1,32.293,37678,5.4
2385,Wings,1990,7+,7.2,,0,1,0,0,1,21.868,2506,7
2386,The Cool Kids,2018,16+,7.0,65%,0,1,0,0,1,4.434,79723,6.7
2387,The Pink Panther Show,1964,all,7.6,,0,1,1,0,1,36.375,10317,7.8
2388,The Guardian,2001,7+,7.4,,0,1,1,0,1,9.029,1791,6.8
2389,The Conners,2018,7+,5.3,89%,0,1,0,0,1,6.977,80550,7.7
2390,Garfield and Friends,1988,7+,7.3,,0,1,0,0,1,31.013,4606,6.9
2391,New Tricks,2003,16+,7.8,,0,1,0,0,1,19.647,13335,7.5
2392,Wolfblood,2013,7+,7.7,,0,1,1,0,1,11.311,58956,8.9
2393,Fast N' Loud,2012,16+,7.5,,0,1,0,0,1,14.192,46874,6.5
2394,A.N.T. Farm,2011,all,5.0,,0,1,0,0,1,20.209,34573,7.5
2395,Shiki,2010,18+,7.7,,0,1,0,0,1,10.798,36581,7.1
2396,Real Humans,2012,16+,7.9,,0,1,0,0,1,9.429,43058,7.7
2397,What's Wrong with Secretary Kim,2018,all,8.1,,0,1,0,0,1,11.184,79434,8.5
2398,Land of Honor,2014,16+,7.9,,0,1,0,0,1,14.049,70176,8
2399,Banished,2015,18+,7.4,,0,1,0,0,1,3.984,62130,6.6
2400,Samantha Who?,2007,7+,7.3,77%,0,1,0,0,1,7.998,2739,6.4
2401,The Powerpuff Girls,1998,7+,7.2,,0,1,0,0,1,33.055,607,7.5
2402,Being Erica,2009,16+,7.5,,0,1,1,0,1,7.549,8459,6.3
2403,False Flag,2015,,7.8,,0,1,0,0,1,5.864,65312,6.9
2404,Dark Shadows,1966,7+,7.5,,0,1,1,0,1,31.681,2883,6.7
2405,"Diners, Drive-Ins and Dives",2007,all,7.3,,0,1,0,0,1,8.506,4086,7.1
2406,Tyler Perry's The Haves and the Have Nots,2013,,6.0,,0,1,0,0,1,23.221,46441,7.5
2407,Shots Fired,2017,16+,6.4,84%,0,1,0,0,1,5.774,67936,6.4
2408,Four Weddings and a Funeral,2019,,7.1,43%,0,1,0,0,1,6.164,84282,6.4
2409,Second Chance,2016,16+,7.5,,0,1,0,0,1,10.9,64434,6.7
2410,K.C. Undercover,2015,all,6.1,,0,1,0,1,1,26.73,61915,7.5
2411,Doug,1991,all,7.4,,0,1,0,1,1,25.769,384,7.4
2412,Detroit 1-8-7,2010,16+,7.6,83%,0,1,0,0,1,3.17,32776,7.6
2413,The Carmichael Show,2015,7+,7.6,86%,0,1,0,0,1,5.769,63761,7.4
2414,Spy,2011,7+,7.9,100%,0,1,0,0,1,84.009,95594,7.1
2415,24: Legacy,2017,16+,6.2,59%,0,1,0,0,1,13.84,66789,5.9
2416,Ranma ½,1989,16+,7.9,,0,1,0,0,1,60.704,57706,8.6
2417,Harrow,2018,,7.6,,0,1,0,0,1,22.4,77947,6.7
2418,Medium,2005,16+,6.9,,0,1,1,0,1,29.89,36,7
2419,World of Dance,2017,7+,7.0,,0,1,0,0,1,6.763,71957,7.7
2420,Coronation Street,1960,7+,5.5,,0,1,0,0,1,29.193,291,5.5
2421,How It's Made,2001,all,7.8,,0,1,0,0,1,12.766,1749,7.6
2422,Life Below Zero,2013,7+,8.0,,0,1,0,1,1,6.921,60910,7.9
2423,T@gged,2016,16+,7.3,,0,1,0,0,1,9.889,71437,7.5
2424,The Bob Newhart Show,1972,all,8.1,,0,1,0,0,1,17.213,1974,7.8
2425,The PJs,1999,16+,6.6,,0,1,0,0,1,6.08,4590,7.5
2426,Moone Boy,2012,16+,8.1,,0,1,0,0,1,3.473,56817,7.4
2427,Ghosted,2017,7+,6.2,59%,0,1,0,0,1,20.008,71739,6.4
2428,The Mary Tyler Moore Show,1970,7+,8.1,,0,1,0,0,1,23.114,2962,7.7
2429,Unsolved Mysteries,1987,7+,8.3,,0,1,1,0,1,69.356,105177,7.7
2430,The Practice,1997,16+,7.7,,0,1,0,0,1,19.548,3050,7.8
2431,Oh My Venus,2015,,7.8,,0,1,0,0,1,7.537,64320,7.9
2432,The Secret Life of the American Teenager,2008,16+,4.9,,0,1,0,0,1,15.616,5721,7
2433,Married at First Sight,2014,16+,6.3,,0,1,1,0,1,4.96,62705,9.8
2434,American Ninja Warrior,2009,7+,6.8,,0,1,0,0,1,42.269,37913,7.4
2435,House Hunters,1999,all,8.2,,0,1,0,0,1,6.721,29173,6.5
2436,Little Britain,2003,18+,7.6,,0,1,0,0,1,11.79,380,7.1
2437,American Pickers,2010,7+,7.0,,0,1,0,0,1,17.843,32025,7
2438,Sailor Moon Crystal,2014,16+,7.9,,0,1,0,0,1,45.383,61339,8.3
2439,Chowder,2007,7+,7.3,,0,1,0,0,1,9.901,9907,7.6
2440,mixed-ish,2019,7+,6.2,80%,0,1,0,0,1,5.948,89563,8.7
2441,Thief,2006,18+,7.5,81%,0,1,0,0,1,2.274,3929,7.7
2442,Nightwatch,2015,16+,8.9,,0,1,0,0,1,0.979,64559,9.3
2443,Dirty Sexy Money,2007,16+,7.2,68%,0,1,0,0,1,5.091,4053,6.4
2444,Big Time Rush,2009,all,6.2,,0,1,1,0,1,51.837,31356,8.8
2445,Snow White with the Red Hair,2015,16+,7.8,,0,1,0,0,1,15.707,63087,8.2
2446,The Three Stooges,1934,all,8.6,,0,1,0,0,1,0.6,108511,0
2447,RuPaul's Drag Race: Untucked,2010,16+,7.9,,0,1,0,0,1,11.449,38409,7.4
2448,The Lord of the Skies,2013,16+,6.8,,0,1,0,0,1,88.601,44953,7.6
2449,Deputy,2020,16+,6.1,40%,0,1,0,0,1,8.398,89498,7.8
2450,Eli Stone,2008,7+,7.6,60%,0,1,0,0,1,11.861,1365,7
2451,Penn & Teller: Bullshit!,2003,18+,8.2,,0,1,0,0,1,13.069,243,8
2452,Shark,2006,16+,7.1,52%,0,1,0,0,1,41.886,30703,6.8
2453,Mistresses,2013,16+,7.1,,0,1,0,0,1,11.109,43856,5.3
2454,Murder in the First,2014,18+,7.2,,0,1,0,0,1,10.539,60129,5.4
2455,Shut Eye,2016,18+,7.4,43%,0,1,0,0,1,6.745,66858,6.2
2456,Chopped,2009,all,7.5,,0,1,0,0,1,11.046,17404,6.6
2457,Teen Titans Go!,2013,7+,5.2,,0,1,0,0,1,49.392,45140,6
2458,Running Wild with Bear Grylls,2014,7+,7.7,,0,1,0,1,1,8.126,61120,6.9
2459,The Thundermans,2013,all,5.7,,0,1,0,0,1,43.172,58981,8
2460,Horrible Histories,2009,7+,8.8,,0,1,1,0,1,7.005,32419,8.6
2461,Space Dandy,2014,16+,8.1,83%,0,1,0,0,1,9.981,60874,7.7
2462,Fosse/Verdon,2019,18+,7.9,81%,0,1,0,0,1,7.846,81131,7.9
2463,The Story of Film: An Odyssey,2011,,8.5,,0,1,0,0,1,1.4,45571,8.5
2464,The Adventures of Jimmy Neutron: Boy Genius,2002,all,6.7,,0,1,0,0,1,30.276,2129,7.3
2465,Kimi ni Todoke: From Me to You,2009,7+,7.8,,0,1,0,0,1,13.425,68854,8.8
2466,Diff'rent Strokes,1978,all,6.6,,0,1,0,0,1,35.957,2410,6.6
2467,Blue Spring Ride,2014,,7.4,,0,1,0,0,1,15.174,62602,8.2
2468,Full Metal Panic!,2002,16+,7.6,,0,1,0,0,1,19.41,39379,7.4
2469,Dance Moms,2011,7+,4.6,,0,1,0,0,1,21.31,40026,6.4
2470,GameFace,2017,,7.7,83%,0,1,0,0,1,0.966,88471,7
2471,The Rifleman,1958,7+,8.3,,0,1,1,0,1,23.249,13859,7.5
2472,Light as a Feather,2018,16+,6.6,44%,0,1,0,0,1,25.957,81829,8.8
2473,The Greatest American Hero,1981,7+,7.3,,0,1,1,0,1,9.156,1909,7.2
2474,Speechless,2016,7+,7.6,,0,1,0,0,1,18.725,67040,7.4
2475,St. Elsewhere,1982,7+,7.8,,0,1,0,0,1,24.678,30,5.4
2476,Travel Man: 48 Hours in...,2015,7+,8.3,,0,1,0,0,1,3.847,62247,7.7
2477,The Incredible Dr. Pol,2011,7+,8.6,,0,1,0,1,1,6.266,49297,8.8
2478,Street Outlaws,2013,7+,6.7,,0,1,0,0,1,11.663,61019,8.1
2479,Stan Against Evil,2016,18+,7.3,,0,1,0,0,1,6.044,67832,6.9
2480,The Dead Files,2011,7+,6.8,,0,1,0,0,1,10.328,40971,6.8
2481,Bluestone 42,2013,16+,8.0,,0,1,0,0,1,3.105,46844,7.7
2482,Persona 4 The Animation,2011,7+,7.6,,0,1,0,0,1,4.941,46388,7.7
2483,American Idol,2002,7+,4.1,68%,0,1,0,0,1,34.655,3626,5.1
2484,Look Around You,2002,7+,8.4,,0,1,0,0,1,3.109,2494,8.7
2485,D.Gray-man,2006,16+,7.7,,0,1,0,0,1,19.89,34141,7.4
2486,Braquo,2009,7+,8.0,,0,1,0,0,1,4.176,37363,7.5
2487,Jeremiah,2002,18+,7.0,,0,1,1,0,1,7.154,184,7.1
2488,Spice and Wolf,2008,16+,8.0,,0,1,0,0,1,15.076,26707,7.5
2489,X Company,2015,16+,7.7,,0,1,0,0,1,5.48,61933,7.3
2490,Almost Family,2019,16+,6.3,24%,0,1,0,0,1,6.839,89624,8.3
2491,Bakuman,2010,16+,8.0,,0,1,0,0,1,13.841,36041,8.2
2492,Fruits Basket,2001,7+,7.9,,0,1,0,0,1,19.712,85991,8.1
2493,Dharma & Greg,1997,16+,6.3,,0,1,0,0,1,10.003,3461,6.4
2494,Blood Blockade Battlefront,2015,18+,7.2,,0,1,0,0,1,17.534,62327,7
2495,Man v. Food,2008,all,7.3,,0,1,0,0,1,5.084,8519,6.9
2496,Storage Wars,2010,7+,6.4,,0,1,1,0,1,12.799,34971,5.8
2497,World Trigger,2014,16+,7.5,,0,1,0,0,1,4.189,61628,8.4
2498,Reba,2001,7+,6.5,,0,1,0,0,1,15.22,654,6.5
2499,Haven't You Heard? I'm Sakamoto,2016,16+,7.2,,0,1,0,0,1,10.02,65944,7.6
2500,SHIMONETA: A Boring World Where the Concept of Dirty Jokes Doesn't Exist,2015,18+,7.1,,0,1,0,0,1,11.648,63323,7.5
2501,Beyond Scared Straight,2011,18+,7.3,,0,1,0,0,1,4.465,38785,8.1
2502,The Fall Guy,1981,7+,7.1,,0,1,0,0,1,15.945,5031,7.3
2503,Toriko,2011,7+,7.3,,0,1,0,0,1,30.17,38251,6.5
2504,Pasión Prohibida,2013,,8.4,,0,1,0,0,1,2.072,8257,0
2505,How Not to Summon a Demon Lord,2018,18+,7.0,,0,1,0,0,1,26.753,80563,8.1
2506,Gordon Ramsay's 24 Hours to Hell and Back,2018,16+,7.3,,0,1,0,0,1,2.48,79679,8.5
2507,Lip Service,2010,18+,7.4,,0,1,0,0,1,2.813,31420,6.5
2508,Find Me in Paris,2018,all,7.3,,0,1,0,0,1,14.795,82199,9.8
2509,Rev.,2010,16+,7.9,,0,1,0,0,1,2.748,32539,9
2510,Rosario + Vampire,2008,18+,7.0,,0,1,0,0,1,14.875,36983,8.4
2511,The Riches,2007,18+,7.8,,0,1,0,0,1,7.348,2933,7.4
2512,The Beverly Hillbillies,1962,all,7.1,,0,1,0,0,1,32.888,1930,7.1
2513,Zac & Mia,2017,16+,8.1,,0,1,0,0,1,127.812,105288,7.9
2514,Step by Step,1991,all,6.5,,0,1,0,0,1,24.995,2617,6.6
2515,Outnumbered,2007,7+,8.0,,0,1,0,0,1,3.268,12784,7.3
2516,The Accident,2019,,6.0,92%,0,1,0,0,1,2.053,94755,5
2517,Dimension 404,2017,7+,6.6,80%,0,1,0,0,1,3.415,70690,6.6
2518,Laverne & Shirley,1976,all,6.9,,0,1,0,0,1,18.021,3033,7.6
2519,The Most Dangerous Animal of All,2020,16+,6.2,73%,0,1,0,0,1,1.035,100120,0
2520,The Kennedys,2011,18+,7.6,,0,1,0,0,1,5.566,34531,6.5
2521,Him & Her,2010,16+,7.8,,0,1,0,0,1,2.645,68058,6.4
2522,Un village français,2009,,8.3,,0,1,1,0,1,7.518,35046,9
2523,Alone Together,2018,16+,6.3,62%,0,1,0,0,1,3.81,71884,5.8
2524,Love Stage!!,2014,18+,7.3,,0,1,0,0,1,12.721,61534,6.8
2525,Burden of Truth,2018,16+,7.2,,0,1,0,0,1,12.734,72743,7.5
2526,Tiny Toon Adventures,1990,all,7.5,,0,1,0,0,1,19.106,1830,7.5
2527,Inside Amy Schumer,2013,18+,6.0,86%,0,1,0,0,1,9.498,47562,5.7
2528,The White Shadow,1978,,8.0,,0,1,0,0,1,10.044,10050,7.6
2529,WWE NXT,2010,7+,7.7,,0,1,0,0,1,43.355,31991,5.9
2530,Your Pretty Face Is Going to Hell,2013,18+,7.7,,0,1,0,0,1,3.443,48000,7.2
2531,The Incredible Hulk,1978,7+,7.0,,0,1,0,0,1,27.148,648,6.9
2532,The Biggest Loser,2004,7+,5.4,,0,1,0,0,1,7.955,579,5.8
2533,Dice,2016,18+,7.4,33%,0,1,0,0,1,16.65,68845,6
2534,Good Bones,2015,,7.3,,0,1,0,0,1,3.824,71956,9.1
2535,Yona of the Dawn,2014,16+,8.1,,0,1,0,0,1,19.456,61461,8.5
2536,Dates,2013,,7.5,88%,0,1,0,0,1,3.726,53536,7.2
2537,Duncanville,2020,16+,5.6,89%,0,1,0,0,1,26.249,93292,7.9
2538,Bluff City Law,2019,16+,6.8,36%,0,1,0,0,1,6.407,86968,7.9
2539,MEGALOBOX,2018,16+,7.8,,0,1,0,0,1,26.898,77939,8.2
2540,Rosewood,2015,16+,6.7,9%,0,1,0,0,1,26.153,63329,6.5
2541,20/20,1978,,6.6,,0,1,0,0,1,9.611,2035,7.8
2542,Hellsing,2001,16+,7.9,,0,1,0,0,1,4.278,101364,0
2543,Infinite Stratos,2011,18+,6.7,,0,1,0,0,1,5.503,46025,7
2544,Plastic Memories,2015,16+,7.3,,0,1,0,0,1,13.718,62450,7.3
2545,Midnattssol,2016,7+,7.5,,0,1,0,0,1,6.478,67394,7.1
2546,Intruders,2014,16+,6.7,39%,0,1,0,0,1,33.778,61231,7
2547,Bad Banks,2018,7+,8.0,,0,1,0,0,1,4.372,76892,7.6
2548,WWE Friday Night SmackDown,1999,7+,7.3,,0,1,0,0,1,16.444,1549,6.8
2549,Melrose Place,1992,16+,5.8,,0,1,1,0,1,29.22,4349,5.2
2550,To Love-Ru,2008,18+,6.9,,0,1,0,0,1,24.875,34742,8.7
2551,Locked Up Abroad,2006,16+,8.2,,0,1,1,0,1,0.6,7439,7
2552,Wiseguy,1987,7+,7.8,,0,1,0,0,1,10.207,6550,7.4
2553,Graves,2016,18+,6.5,50%,0,1,0,0,1,7.978,67371,5.1
2554,Popeye the Sailor,1960,all,7.1,,0,1,0,0,1,19.676,8392,6.6
2555,Perfect Harmony,2019,7+,6.6,62%,0,1,0,0,1,2.957,92139,7.1
2556,City Homicide,2001,,7.4,,0,1,1,0,1,0.797,4850,4
2557,Hillary,2020,18+,5.9,77%,0,1,0,0,1,2.72,96391,4.7
2558,Mountain Men,2012,7+,7.3,,0,1,0,0,1,8.492,60381,6.2
2559,Baywatch,1989,7+,5.3,,0,1,1,0,1,36.476,4386,5.5
2560,MasterChef Junior,2013,all,6.7,,0,1,0,0,1,5.751,57755,7
2561,Property Brothers,2011,all,7.2,,0,1,0,0,1,12.525,35058,7.5
2562,The Odd Couple,2015,7+,6.4,,0,1,0,0,1,16.607,1809,7.8
2563,Kingdom,2007,,7.9,,0,1,0,0,1,22.358,61427,6.5
2564,Guilty Crown,2011,16+,7.1,,0,1,0,0,1,16.58,43125,6.8
2565,A Certain Scientific Railgun,2009,16+,7.5,,0,1,0,0,1,25.656,30977,5.8
2566,Mister Ed,1961,all,7.0,,0,1,0,0,1,15.113,453,7
2567,Sonic Boom,2014,7+,7.0,,0,1,0,0,1,22.147,62211,7
2568,Cardfight!! Vanguard,2011,16+,7.2,,0,1,1,0,1,6.789,107974,0
2569,The Bastard Executioner,2015,18+,6.2,47%,0,1,0,0,1,8.845,63349,5.8
2570,Clarence,2014,7+,6.5,,0,1,0,0,1,47.193,50035,6.9
2571,Utopia Falls,2020,7+,4.9,43%,0,1,0,0,1,9.051,97559,7.2
2572,Dual Survival,2010,16+,7.5,,0,1,0,0,1,3.779,32997,7.7
2573,Alias Smith and Jones,1971,7+,7.6,,0,1,0,0,1,9.594,3275,6.9
2574,House Hunters International,2006,all,7.0,,0,1,0,0,1,6.721,29173,6.5
2575,Danganronpa: The Animation,2013,18+,6.9,,0,1,0,0,1,18.721,49471,7.8
2576,Naked and Afraid XL,2015,16+,7.3,,0,1,0,0,1,5.818,63451,6.5
2577,Ben 10: Omniverse,2012,7+,5.7,,0,1,0,0,1,33.723,46922,7.7
2578,The Qwaser of Stigmata,2010,18+,5.5,,0,1,0,0,1,18.699,38112,6.8
2579,Haganai: I Don't Have Many Friends,2011,18+,7.2,,0,1,0,0,1,8.52,60730,7.3
2580,American Gladiators,1989,7+,6.5,,0,1,0,0,1,2.173,14432,4.7
2581,OK K.O.! Let's Be Heroes,2017,7+,7.1,,0,1,0,0,1,10.027,72468,8.1
2582,The Real Housewives of Beverly Hills,2010,16+,4.8,,0,1,0,0,1,22.323,32390,6.9
2583,Silk Stalkings,1991,16+,6.5,,0,1,0,0,1,22.248,3114,6.8
2584,Packed to the Rafters,2008,18+,7.4,,0,1,0,0,1,6.248,6754,8
2585,Damien,2016,16+,6.9,11%,0,1,0,0,1,9.117,19033,6.7
2586,Taggart,1983,18+,7.2,,0,1,0,0,1,7.644,2428,7.7
2587,The Asterisk War,2015,16+,6.8,,0,1,0,0,1,12.708,64671,6.4
2588,Hard Sun,2018,18+,6.6,48%,0,1,0,0,1,3.906,72749,7.1
2589,Justice League Action,2016,7+,7.7,,0,1,0,0,1,16.653,68837,6.8
2590,Some Girls,2012,16+,7.6,,0,1,0,0,1,2.587,59086,8
2591,Perfect Strangers,1986,7+,7.2,,0,1,0,0,1,11.449,1786,6.9
2592,Lost in Space,1965,all,7.2,,0,1,0,0,1,38.988,75758,7.5
2593,The Game,2006,16+,6.7,,0,1,0,0,1,19.098,211,8.3
2594,Love Island,2015,,5.1,,0,1,0,0,1,15.877,90521,7.9
2595,America's Got Talent,2006,7+,5.8,,0,1,0,0,1,33.991,4551,5.4
2596,Ironside,1967,7+,6.9,,0,1,0,0,1,27.058,4582,7.3
2597,Deadbeat,2014,16+,7.5,,0,1,0,0,1,10.076,62234,6.3
2598,Cutthroat Kitchen,2013,all,7.2,,0,1,0,0,1,7.556,57022,6.2
2599,The Fruit of Grisaia,2014,18+,7.1,,0,1,0,0,1,13.072,61422,7.3
2600,Whose Line Is It Anyway? (UK),1988,7+,8.2,,0,1,1,0,1,9.868,3269,7.8
2601,Chivalry of a Failed Knight,2015,18+,7.4,,0,1,0,0,1,25.465,67154,7.3
2602,Alaska: The Last Frontier,2011,16+,7.7,,0,1,0,0,1,3.401,63313,8.3
2603,Married,2014,18+,7.0,56%,0,1,0,0,1,39.442,4239,7.6
2604,Every Witch Way,2014,7+,5.0,,0,1,0,0,1,12.358,60998,9.4
2605,Baghdad Central,2020,,7.1,88%,0,1,0,0,1,5.169,98272,6.4
2606,Living Single,1993,7+,7.3,,0,1,0,0,1,4.623,4270,8.7
2607,Clannad After Story,2009,7+,8.6,,0,1,0,0,1,18.841,24835,8.2
2608,Just Between Lovers,2017,,8.0,,0,1,0,0,1,4.988,74829,7.7
2609,Grimgar of Fantasy and Ash,2016,16+,7.5,,0,1,0,0,1,15.946,65369,7.2
2610,Wallander,2005,,7.6,,0,1,0,0,1,61.984,91545,7.7
2611,Deadly Women,2005,16+,8.0,,0,1,1,0,1,6.815,15948,8.3
2612,Fear Factor,2001,7+,5.6,,0,1,0,0,1,11.188,320,5.7
2613,My Life as a Teenage Robot,2003,all,7.0,,0,1,0,0,1,19.313,178,7
2614,Vanderpump Rules,2013,16+,5.4,,0,1,0,0,1,13.703,61581,7.8
2615,The Last Alaskans,2015,18+,8.5,,0,1,0,0,1,2.339,65043,6.9
2616,This Way Up,2019,,7.7,93%,0,1,0,0,1,3.455,91740,7.5
2617,D.Gray-man Hallow,2016,16+,7.7,,0,1,0,0,1,3.187,67145,7.5
2618,My 600-lb Life,2012,16+,6.6,,0,1,0,0,1,8.46,66014,6.7
2619,WATAMOTE,2013,16+,7.3,,0,1,0,0,1,8.316,61755,6.8
2620,My Love Story!!,2015,7+,7.8,,0,1,0,0,1,18.927,62565,8.8
2621,Love Island Australia,2018,18+,5.4,,0,1,0,0,1,7.192,79792,7
2622,"Doogie Howser, M.D.",1989,7+,6.5,,0,1,0,0,1,14.662,1750,6.8
2623,grown-ish,2018,16+,6.4,,0,1,0,0,1,17.495,71885,8.6
2624,Devil May Cry,2007,18+,7.1,,0,1,0,0,1,17.361,12577,6.2
2625,The Four: Battle for Stardom,2018,,4.1,17%,0,1,0,0,1,1.422,75757,6.5
2626,All Saints,1998,16+,7.0,,0,1,0,0,1,9.338,2167,7.8
2627,Bring It!,2014,7+,6.6,,0,1,1,0,1,7.267,61944,9.2
2628,Beck,1997,,7.4,,0,1,0,0,1,11.893,38148,7
2629,Maken-Ki! Battling Venus,2011,18+,6.2,,0,1,0,0,1,4.969,60732,7
2630,Designing Women,1986,7+,7.0,,0,1,0,0,1,16.917,712,7.3
2631,Kämpfer,2009,18+,6.2,,0,1,0,0,1,1.4,64205,0
2632,Hunter,1984,7+,6.8,,0,1,0,0,1,66.293,12313,8.6
2633,Worst Cooks in America,2010,all,6.4,,0,1,0,0,1,3.8,31783,5.9
2634,Barbarians Rising,2016,18+,7.8,,0,1,0,0,1,5.004,66641,7.5
2635,Cake Boss,2009,7+,6.6,,0,1,0,0,1,7.475,18664,6.7
2636,Bering Sea Gold,2012,all,6.6,,0,1,0,0,1,7.349,58704,6.3
2637,The Real Housewives of New York City,2008,16+,4.3,,0,1,0,0,1,17.161,14808,6
2638,Itazura na Kiss,2008,,7.5,,0,1,0,0,1,2.218,51732,0
2639,Aesthetica of a Rogue Hero,2012,18+,7.2,,0,1,0,0,1,8.365,62171,7.6
2640,Mysteries at the Museum,2010,7+,8.1,,0,1,0,0,1,1.707,38122,8.9
2641,Blood Lad,2013,16+,7.1,,0,1,0,0,1,13.014,57577,8
2642,7th Heaven,1996,7+,5.2,,0,1,1,0,1,14.704,4550,6.1
2643,Voyage to the Bottom of the Sea,1964,7+,7.2,,0,1,0,0,1,21.879,321,7.4
2644,Reef Break,2019,7+,5.9,33%,0,1,0,0,1,6.628,88561,8.4
2645,The Dana Carvey Show,1996,,7.3,80%,0,1,0,0,1,2.293,10046,6.6
2646,Primeval: New World,2012,16+,6.5,,0,1,0,0,1,7.03,41283,6.4
2647,Pramface,2012,16+,7.6,,0,1,0,0,1,4.742,44733,7.1
2648,Classroom of the Elite,2017,16+,7.4,,0,1,0,0,1,24.438,72517,8.7
2649,The Slap,2015,16+,7.6,67%,0,1,1,0,1,4.249,61816,6
2650,The Moodys,2019,16+,6.6,62%,0,1,0,0,1,1.895,95681,5.8
2651,Dietland,2018,16+,6.4,81%,0,1,0,0,1,5.01,79005,6.7
2652,Son of Zorn,2016,16+,6.7,58%,0,1,0,0,1,5.522,66844,5.9
2653,Buzzfeed Unsolved: Supernatural,2016,,8.7,,0,1,1,0,1,1.195,80044,8.7
2654,Devils Line,2018,18+,6.8,,0,1,0,0,1,8.952,78462,6.6
2655,Say Yes to the Dress,2007,7+,5.6,,0,1,1,0,1,6.813,31306,7.1
2656,Father Knows Best,1954,all,7.4,,0,1,1,0,1,17.003,10118,7.5
2657,Beyond the Boundary,2013,16+,7.3,,0,1,0,0,1,18.714,61695,8.6
2658,BuzzFeed Unsolved - True Crime,2016,,8.9,,0,1,1,0,1,1.475,74826,7.6
2659,Marido en Alquiler,2013,,8.4,,0,1,0,0,1,1.254,44949,0
2660,Hollywood Game Night,2013,7+,7.3,,0,1,0,0,1,4.8,51502,6.8
2661,Dog with a Blog,2012,all,4.8,,0,1,0,0,1,14.519,43775,7.1
2662,Disappeared,2010,16+,8.0,,0,1,0,0,1,3.1,26728,8.3
2663,Party of Five,2020,,5.3,,0,1,0,0,1,22.264,4266,6.7
2664,Date a Live,2013,18+,7.0,,0,1,0,0,1,1.713,108519,0
2665,Total Divas,2013,16+,6.5,,0,1,0,0,1,16.04,58578,7.4
2666,Golden Time,2013,16+,7.5,,0,1,0,0,1,18.602,67389,9
2667,Bloom,2019,18+,6.6,,0,1,0,0,1,4.738,85232,8
2668,Hunter Street,2017,all,6.8,,0,1,0,0,1,12.156,71128,7.7
2669,Daniel Deronda,2002,,7.2,,0,1,0,0,1,3.637,34539,7.7
2670,Good Doctor,2013,,8.1,,0,1,0,0,1,430.034,71712,8.6
2671,90 Day Fiancé: Happily Ever After?,2016,16+,6.3,,0,1,0,0,1,6.459,67757,8
2672,Outmatched,2020,7+,5.6,22%,0,1,0,0,1,3.345,96652,7.5
2673,The Passing Bells,2014,,6.9,,0,1,1,0,1,2.409,61559,6.9
2674,Kingdom,2012,16+,8.0,,0,1,0,0,1,22.358,61427,6.5
2675,Wise Man’s Grandchild,2019,16+,6.7,,0,1,0,0,1,24.948,85844,8
2676,Blast of Tempest,2012,16+,7.6,,0,1,0,0,1,6.299,46283,8.1
2677,The Bachelorette,2003,16+,3.4,62%,0,1,0,0,1,11.494,1562,4.6
2678,Swamp People,2010,7+,6.3,,0,1,1,0,1,4.153,39290,8.1
2679,Undercover Boss,2010,7+,5.8,,0,1,0,0,1,11.862,33297,5.7
