,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Popularity,ID,TMDB Rating,Rating Count,Last Episode Rating,Last Air Date,First Air Date,# of Seasons,# of Episodes,Genre,Language,Country,In Production,Origin Network,Similar_1,Similar_2
2073,The Mighty Boosh,2004,16+,8.3,100%,0,1,0,0,7.677,7166,7.5,68,,2007-12-20,2004-05-18,3,20,,en,GB,False,BBC Three,'Allo 'Allo!,Bottom
2074,Blindspot,2015,16+,7.4,,0,1,0,0,113.637,62710,7.1,1295,,2020-07-23,2015-09-21,5,100,,en,US,False,NBC,Waco,Perception
2075,Stumptown,2019,16+,7.5,92%,0,1,0,0,13.762,89440,8.1,53,,2020-03-25,2019-09-25,1,18,,en,US,True,ABC,Magnum P.I.,Mannix
2076,The Mindy Project,2012,16+,7.4,86%,0,1,0,0,41.246,44857,5.6,95,,2017-11-14,2012-09-25,6,117,,en,US,False,FOX,2 Broke Girls,Younger
2077,Empire,2015,16+,7.4,84%,0,1,0,0,42.424,61733,6.8,457,,2020-04-21,2015-01-07,6,102,,en,US,False,FOX,Nicky Jam: El Ganador,Atlanta
2078,Quantum Leap,1989,7+,8.1,,0,1,0,0,29.626,4018,7.8,229,,1993-05-05,1989-03-26,5,97,,en,US,False,NBC,Journeyman,Frequency
2079,The Librarians,2014,16+,7.3,89%,0,1,0,0,29.368,61599,7.1,235,,2018-02-07,2014-12-07,4,42,,en,US,False,TNT,Relic Hunter,デュエル・マスターズ
2080,The Middle,2009,7+,7.5,,0,1,0,0,186.801,2004,8.3,1365,,2006-05-14,2000-01-09,7,151,,en,US,False,FOX,The Middle,Drake & Josh
2081,The Resident,2018,16+,7.6,,0,1,0,0,96.311,74016,8.4,540,,2020-04-07,2018-01-21,3,57,,en,US,True,FOX,"Emily Owens, M.D",Chicago Hope
2082,Manifest,2018,16+,7.2,57%,0,1,0,0,46.434,79696,7.6,232,,2020-04-06,2018-09-24,2,29,,en,US,True,NBC,FlashForward,The Leftovers
2083,Saturday Night Live,1975,16+,8.1,,0,1,0,0,47.706,1667,6.8,222,,2020-05-09,1975-10-11,45,895,,en,US,True,NBC,Late Show with David Letterman,30 Rock
2084,Survivor,2000,7+,7.2,,0,1,1,0,51.307,14658,6.6,170,,2020-05-13,2000-05-31,40,603,,en,US,True,CBS,Kid Nation,Big Brother
